Symbol,Average Return,Risk,Return-to-Risk
BHRB,0.13738372403374943,0.2721411575661302,0.5048252357799471
LLY,0.03281671089506719,0.07990257056784925,0.4107090755885118
NVO,0.022719891566843512,0.060801916977495325,0.37367064553660123
DECK,0.03201887613868403,0.088518919634441,0.36171788213088524
AJG,0.02084234453935639,0.05996984587179443,0.34754707530704454
MSFT,0.021050869359468292,0.06143887736607074,0.3426310873820346
TRI,0.017748131668743814,0.05292108905544802,0.3353697360639768
ENPH,0.07790275136398103,0.23454271325819964,0.3321473955928049
CDNS,0.027549526659306524,0.08365994105972521,0.3293036823877128
CELH,0.06956084248776064,0.21346927723293443,0.32585879986775285
FCN,0.026434495430436904,0.08137642941891653,0.32484216399266125
TRNS,0.030342404405744088,0.09354995312949588,0.3243444105604502
SPSC,0.03042055457899081,0.09385076063703097,0.32413753892355435
KNSL,0.033871256274804425,0.1052604907056263,0.32178508809662965
SNPS,0.026905316337486346,0.08409720106182426,0.3199311748521433
UFPT,0.028131529769836842,0.08951396811722884,0.31426972082161936
PGR,0.019720595516018034,0.06296014570022944,0.31322347330505257
EU,0.06799447311400993,0.2223789498263117,0.3057594847314315
CAMT,0.038426792882801306,0.1267878381196902,0.30307948658707834
LSCC,0.044380933901861305,0.1469251899461625,0.302064839379304
BAH,0.01906131762257919,0.06322664822381947,0.30147600984798356
CMG,0.030890722586220883,0.10289278705735634,0.30022243025646905
MDB,0.05167064240100214,0.17250207888840008,0.29953634607748914
ARES,0.028724594234430283,0.09653001474811625,0.29757163416356813
KRYS,0.04732628344256781,0.1600211786397573,0.29575012410769475
COST,0.018039887604682482,0.0611781858232775,0.29487451061058667
ORLY,0.020792327046791934,0.07110061726467515,0.2924352536827014
FN,0.033149007431199966,0.11390430869375219,0.2910250526196138
FTNT,0.032792443868656665,0.1132693452492736,0.2895085497006258
CSWI,0.02221812160156984,0.07712656330455332,0.288073533288863
DRS,0.039636660348959525,0.1387322026844323,0.28570627137752
FICO,0.028140819377306135,0.09920367484397245,0.2836671062999029
PWR,0.02553232662014743,0.09166172640586852,0.2785494842972187
JBL,0.028458492184884387,0.10217803259210935,0.27851869392014583
AAPL,0.025124187813046893,0.09026558336115825,0.27833629249947284
ENSG,0.02617570916139356,0.09423782376342375,0.277762241487086
ARGX,0.03260551798129169,0.11791908025280137,0.2765075669805955
NOW,0.022824498271679285,0.082572130114018,0.27641891083786446
MEDP,0.035218620396139454,0.12758187252824923,0.2760472134341917
TTD,0.058353935811987015,0.21174330008118658,0.27558810970459496
CPRT,0.023704203751180927,0.08627005019581346,0.27476747373367416
AZO,0.01957020055139689,0.07128083370239957,0.2745506686005285
ATLC,0.05650628663579093,0.20664590611533784,0.2734449846988615
ODFL,0.023736706729609487,0.08684314701140643,0.2733284956438968
KLAC,0.026636850338617648,0.09751204541739185,0.27316471749311505
AVGO,0.023663856425272963,0.08696290429245913,0.27211437586871096
LEU,0.06189552628895776,0.22875480852445418,0.2705758479491855
CBZ,0.01898152734725446,0.07019236947751563,0.27042152143524256
MUSA,0.02529038320858274,0.09358307493321541,0.27024526845939784
AXON,0.039410735556034915,0.14602736721472123,0.26988595567901097
LPLA,0.02408975856625146,0.0896885173332859,0.26859356451097316
LULU,0.029213279831540238,0.10882624228386986,0.2684396632508757
AGYS,0.03843126117235913,0.14429398421458595,0.266340009817778
NVDA,0.03860369765328746,0.14585602138452253,0.2646698935487615
MSCI,0.022212847081588518,0.084161705929069,0.2639305707551767
BRO,0.01657643459095968,0.06304778629664673,0.2629185823109751
MSI,0.01830290273160037,0.07055460300905937,0.25941472208766075
RSG,0.01351315548182832,0.052174429498734555,0.2589995829692027
