Symbol,Name,Market Cap,Country,IPO Year,Sector,Industry
A,Agilent Technologies Inc. Common Stock,31962233703.0,United States,1999.0,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,4481065876.0,United States,2016.0,Industrials,Aluminum
AAC,Ares Acquisition Corporation Class A Ordinary Shares,759701838.0,,2021.0,Industrials,Metal Fabrications
AACG,ATA Creativity Global American Depositary Shares,32204018.0,China,2008.0,Real Estate,Other Consumer Services
AACI,Armada Acquisition Corp. I Common Stock,0.0,United States,2021.0,Finance,Blank Checks
AACIU,Armada Acquisition Corp. I Unit,0.0,United States,2021.0,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,0.0,United States,2021.0,Finance,Blank Checks
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,0.0,,2023.0,,
AADI,Aadi Bioscience Inc. Common Stock,98005880.0,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),127676471.0,United States,,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,,United States,,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,,United States,,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,684556230.0,United States,,Real Estate,Real Estate Investment Trusts
AAL,American Airlines Group Inc. Common Stock,7727917385.0,United States,,Consumer Discretionary,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,11487924.0,United States,,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,39376416.0,United States,,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,292020797.0,United States,2020.0,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,237432179.0,United States,2013.0,Technology,Semiconductors
AAON,AAON Inc. Common Stock,4329380898.0,United States,,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,3066405598.0,United States,,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,2749592381840.0,United States,1980.0,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,1130085364.0,United States,2011.0,Real Estate,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,18181837.0,Canada,2015.0,,
AB,AllianceBernstein Holding L.P.  Units,3284160748.0,United States,,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,310829259.0,United States,,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,254466779856.0,United States,2012.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,2616230658.0,United States,1994.0,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,1252910904.0,Canada,2020.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABCM,Abcam plc American Depositary Shares,5215935884.0,United Kingdom,2020.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,104945097.0,United States,,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),38981786706.0,Brazil,2013.0,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,4339511636.0,United States,2002.0,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABIO,ARCA biopharma Inc. Common Stock,29396692.0,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life Inc. Class A Common Stock,420584076.0,United States,2020.0,Finance,Investment Managers
ABLLW,Abacus Life Inc. Warrant,18888506.0,United States,2020.0,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,0.0,China,,,
ABM,ABM Industries Incorporated Common Stock,2741210002.0,United States,,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,78340737981.0,United States,2020.0,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,205433218.0,United States,2021.0,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,2657653144.0,United States,2004.0,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,United States,,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,United States,,,
