Company,Symbol,Country,Exchange,Sector,Market Cap
1&1 DrillischAktiengesellschaft,1U1,🇩🇪,Frankfurt Stock Exchange,Telecomms,€2.8bn
3i Group plc,III,🇬🇧,London Stock Exchange,Financial Services,£19.5bn
A2A Spa,A2A,🇮🇹,Italian Stock Exchange,Electricity,€5.3bn
AAK AB,AAK,🇸🇪,Stockholm Stock Exchange,Food Producers,kr52.7bn
Aalberts NV,AALB,🇳🇱,Euronext Amsterdam,Industrial Engineering,€3.3bn
Aareal Beteiligungen AG,ARL,🇩🇪,Frankfurt Stock Exchange,Banks,€2.0bn
ABB Ltd.,ABBN,🇨🇭,SIX Swiss Exchange,Electronic & Electrical Equipment,Fr.55.6bn
ABN AMRO Bank N.V. - NLDR,ABN,🇳🇱,Euronext Amsterdam,Banks,€5.9bn
Abrdn Plc,ABDN,🇬🇧,London Stock Exchange,Life Insurance,£2.8bn
Accor,AC,🇫🇷,Euronext Paris,Travel & Leisure,€7.8bn
Ackermans & Van Haaren,ACKB,🇧🇪,Euronext Brussels,General Industrials,€4.7bn
"ACS, Actividades de Construccion Y Servicios, S.A.",ACS,🇪🇸,Madrid Stock Exchange,Construction & Materials,€9.0bn
Adecco Group AG,ADEN,🇨🇭,SIX Swiss Exchange,Support Services,Fr.5.7bn
Adidas AG,ADS,🇩🇪,Frankfurt Stock Exchange,Personal Goods,€30.6bn
Admiral Group,ADM,🇬🇧,London Stock Exchange,Nonlife Insurance,£7.5bn
Adyen NV,ADYEN,🇳🇱,Euronext Amsterdam,Support Services,€21.1bn
Aegon N. V.,AGN,🇳🇱,Euronext Amsterdam,Life Insurance,€9.0bn
Aena S.M.E. S.A.,AENA,🇪🇸,Madrid Stock Exchange,Travel & Leisure,€20.6bn
Aeroports de Paris SA,ADP,🇫🇷,Euronext Paris,Travel & Leisure,€10.0bn
Ageas SA/NV,AGS,🇧🇪,Euronext Brussels,Life Insurance,€7.2bn
AIB Group Plc,AIBG,🇮🇪,Irish Stock Exchange,Banks,€11.0bn
Airbus SE,AIR,🇫🇷,Euronext Paris,Aerospace & Defence,€95.8bn
Air France-KLM,AF,🇫🇷,Euronext Paris,Travel & Leisure,€29.3bn
Air Liquide S.A,AI,🇫🇷,Euronext Paris,Chemicals,€79.9bn
Aker BP ASA,AKRBP,🇳🇴,Oslo Stock Exchange,Oil & Gas Producers,kr199.8bn
Akzo Nobel N.V.,AKZA,🇳🇱,Euronext Amsterdam,Chemicals,€10.9bn
Alcon Inc.,ALC,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.32.3bn
Alfa Laval AB,ALFA,🇸🇪,Stockholm Stock Exchange,General Industrials,kr144.9bn
Allianz SE,ALV,🇩🇪,Frankfurt Stock Exchange,Life Insurance,€87.9bn
Alstom,ALO,🇫🇷,Euronext Paris,Industrial Engineering,€4.7bn
Alten,ATE,🇫🇷,Euronext Paris,Engineering,€3.8bn
Amadeus IT Group S.A.,AMS,🇪🇸,Madrid Stock Exchange,Software & Computer Services,€24.3bn
Ambu AS - Class B Shares,AMBU B,🇩🇰,Copenhagen Stock Exchange,Health Care Equipment & Services,kr.16.1bn
ams-OSRAM AG,AMS,🇨🇭,SIX Swiss Exchange,Technology Hardware & Equipment,Fr.994mn
Amundi,AMUN,🇫🇷,Euronext Paris,Financial Services,€10.3bn
Andritz AG,ANDR,🇦🇹,Vienna Stock Exchange,General Industrials,€4.5bn
Anglo American plc,AAL,🇬🇧,London Stock Exchange,Mining,£27.6bn
Anheuser-Busch In Bev SA/NV,ABI,🇧🇪,Euronext Brussels,Beverages,€86.6bn
Antofagasta plc,ANTO,🇬🇧,London Stock Exchange,Mining,£13.1bn
A.P. Moller - Maersk AS - Class B Shares,MAERSK B,🇩🇰,Copenhagen Stock Exchange,Industrial Transportation,kr.85.3bn
ArcelorMittal,MT,🇳🇱,Euronext Amsterdam,Industrial Metals,€17.5bn
Argen X SE,ARGX,🇧🇪,Euronext Brussels,Pharmaceuticals & Biotechnology,€26.8bn
Arkema,AKE,🇫🇷,Euronext Paris,Chemicals,€6.2bn
Aroundtown S.A,AT1,🇩🇪,Xetra,Property,€3.0bn
Ashtead Group plc,AHT,🇬🇧,London Stock Exchange,Support Services,£20.6bn
ASM International NV,ASM,🇳🇱,Euronext Amsterdam,Technology Hardware & Equipment,€17.8bn
ASML Holding NV,ASML,🇳🇱,Euronext Amsterdam,Electronic & Electrical Equipment,€220.6bn
ASR Nederland NV,ASRNL,🇳🇱,Euronext Amsterdam,Nonlife Insurance,€7.4bn
Assa Abloy AB - Class B Shares,ASSA B,🇸🇪,Stockholm Stock Exchange,Construction & Materials,kr240.3bn
Assicurazioni Generali SPA,G,🇮🇹,Italian Stock Exchange,Life Insurance,€28.3bn
Associated British Foods plc,ABF,🇬🇧,London Stock Exchange,Food Producers,£14.8bn
Astrazeneca plc,AZN,🇬🇧,London Stock Exchange,Pharmaceuticals & Biotechnology,£161.7bn
Atlantia,ATL,🇮🇹,Italian Stock Exchange,Industrial Transportation,€19.0bn
Atlas Copco AB - Class A Shares,ATCO A,🇸🇪,Stockholm Stock Exchange,Industrial Engineering,kr467.4bn
Atos SE,ATO,🇫🇷,Euronext Paris,Software & Computer Services,€521mn
Aurubis AG,NDA,🇩🇪,Frankfurt Stock Exchange,Industrial Metals,€3.3bn
Auto Trader Group Plc,AUTO,🇬🇧,London Stock Exchange,Retailers,£5.5bn
Aveva Group,AVV,🇬🇧,London Stock Exchange,Software & Computer Services,£9.7bn
Aviva Plc,AV.,🇬🇧,London Stock Exchange,Life Insurance,£10.9bn
Axa,CS,🇫🇷,Euronext Paris,Life Insurance,€61.2bn
BAE Systems plc,BA.,🇬🇧,London Stock Exchange,Aerospace & Defence,£32.3bn
Balfour Beatty plc,BBY,🇬🇧,London Stock Exchange,Construction & Materials,£1.7bn
Baloise Holding AG,BALN,🇨🇭,SIX Swiss Exchange,Nonlife Insurance,Fr.5.8bn
Banco Bilbao Vizcaya Argentaria.,BBVA,🇪🇸,Madrid Stock Exchange,Banks,€45.0bn
Banco BPM S.p.A,BAMI,🇮🇹,Italian Stock Exchange,Financial Services,€7.1bn
"Banco Comercial Portugues, S.A.",BCP,🇵🇹,Euronext Lisbon,Banks,€4.2bn
"Banco de Sabadell, S.A.",SAB,🇪🇸,Valencia Stock Exchange,Banks,€1.7bn
Banco Santander S.A.,SAN,🇪🇸,Madrid Stock Exchange,Banks,€55.9bn
Bankinter SA,BKT,🇪🇸,Madrid Stock Exchange,Banks,€5.7bn
Bank of Ireland Group Plc,BIRG,🇮🇪,Irish Stock Exchange,Banks,€9.6bn
Bank Polska Kasa Opieki SA,PEO,🇵🇱,Warsaw Stock Exchange,Banks,zł30.6bn
Barclays plc,BARC,🇬🇧,London Stock Exchange,Banks,£21.9bn
Barratt Developments plc,BDEV,🇬🇧,London Stock Exchange,Home Construction,£3.8bn
Barry Callebaut AG,BARN,🇨🇭,SIX Swiss Exchange,Food Producers,Fr.7.5bn
Basf SE,BAS,🇩🇪,Frankfurt Stock Exchange,Chemicals,€36.6bn
Bayer AG,BAYN,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€40.8bn
Bayerische Motoren Werke AG,BMW,🇩🇪,Xetra,Automobiles & Parts,€56.3bn
BB Biotech AG,BION,🇨🇭,SIX Swiss Exchange,Pharmaceuticals & Biotechnology,Fr.2.1bn
Beazley Plc.,BEZ,🇬🇧,London Stock Exchange,Nonlife Insurance,£3.5bn
Bechtle AG,BC8,🇩🇪,Frankfurt Stock Exchange,Software & Computer Services,€5.2bn
Beiersdorf AG,BEI,🇩🇪,Frankfurt Stock Exchange,Personal Goods,€30.7bn
Bellway plc,BWY,🇬🇧,London Stock Exchange,Home Construction,£2.4bn
Berkeley Group Holdings,BKG,🇬🇧,London Stock Exchange,Home Construction,£4.2bn
Bic,BB,🇫🇷,Euronext Paris,General Industrials,€2.6bn
Biomerieux,BIM,🇫🇷,Euronext Paris,Pharmaceuticals & Biotechnology,€10.2bn
B&M European Value Retail S.A.,BME,🇬🇧,London Stock Exchange,Retailers,£5.4bn
BNP Paribas,BNP,🇫🇷,Euronext Paris,Banks,€64.8bn
Boliden AB,BOL,🇸🇪,Stockholm Stock Exchange,General Industrials,kr73.6bn
Bollore SE,BOL,🇫🇷,Euronext Paris,Industrial Transportation,€14.8bn
Bouygues,EN,🇫🇷,Euronext Paris,General Industrials,€11.9bn
BP plc,BP.,🇬🇧,London Stock Exchange,Oil & Gas Producers,£93.1bn
Brenntag SE,BNR,🇩🇪,Frankfurt Stock Exchange,Chemicals,€10.4bn
British American Tobacco Plc,BATS,🇬🇧,London Stock Exchange,Tobacco,£54.9bn
British Land Co plc,BLND,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£2.8bn
Britvic,BVIC,🇬🇧,London Stock Exchange,Beverages,£2.1bn
BT Group,BT.A,🇬🇧,London Stock Exchange,Telecomms,£11.3bn
Bucher Industries AG,BUCN,🇨🇭,SIX Swiss Exchange,Technology Hardware & Equipment,Fr.3.3bn
Bunzl plc,BNZL,🇬🇧,London Stock Exchange,Support Services,£9.7bn
Burberry Group,BRBY,🇬🇧,London Stock Exchange,Personal Goods,£6.3bn
Bureau Veritas,BVI,🇫🇷,Euronext Paris,Support Services,€10.2bn
"CaixaBank, S.A",CABK,🇪🇸,Madrid Stock Exchange,Financial Services,€28.5bn
Capgemini,CAP,🇫🇷,Euronext Paris,Software & Computer Services,€28.3bn
Capita Plc,CPI,🇬🇧,London Stock Exchange,Support Services,£282mn
Carlsberg - Class A Shares,CARL A,🇩🇰,Copenhagen Stock Exchange,Food Producers,kr.38.6bn
Carl Zeiss Meditec A G,AFX,🇩🇪,Frankfurt Stock Exchange,Pharmaceuticals & Biotechnology,€6.8bn
Carnival plc,CCL,🇬🇧,London Stock Exchange,Travel & Leisure,£1.2bn
Carrefour,CA,🇫🇷,Euronext Paris,Food and Drug Retailers,€11.2bn
Casino Guichard Perrachon,CO,🇫🇷,Euronext Paris,Travel & Leisure,€126mn
Castellum AB,CAST,🇸🇪,Stockholm Stock Exchange,Real Estate,kr50.8bn
CD Projekt S.A.,CDR,🇵🇱,Warsaw Stock Exchange,Leisure Goods,zł10.5bn
Cellnex Telecom S.A.,CLNX,🇪🇸,Madrid Stock Exchange,Telecomms,€19.2bn
Cembra Money Bank AG,CMBN,🇨🇭,SIX Swiss Exchange,Banks,Fr.1.9bn
Centrica plc,CNA,🇬🇧,London Stock Exchange,"Gas, Water & Multiutilities",£8.6bn
Chocoladefabriken Lindt & Sprungli AG.,LISN,🇨🇭,SIX Swiss Exchange,Food Producers,Fr.13.1bn
Chr. Hansen Holding,CHR,🇩🇰,Copenhagen Stock Exchange,Health Care Equipment & Services,kr.56.7bn
Christian Dior SE,CDI,🇫🇷,Euronext Paris,Personal Goods,€114.2bn
Cineworld Group,CINE,🇬🇧,London Stock Exchange,Travel & Leisure,£5mn
Clariant AG,CLN,🇨🇭,SIX Swiss Exchange,Chemicals,Fr.4.1bn
Close Brothers Group plc,CBG,🇬🇧,London Stock Exchange,Banks,£1.2bn
CNH Industrial NV,CNHI,🇺🇸,New York Stock Exchange,General Industrials,$15.0bn
CNP Assurances,CNP,🇫🇷,Euronext Paris,Nonlife Insurance,€14.3bn
Coca Cola HBC AG,EEE,🇬🇷,Athens Exchange,Beverages,€9.1bn
Cofinimmo,COFB,🇧🇪,Euronext Brussels,Real Estate Investment & Services,€2.0bn
Coloplast AS - Class B Shares,COLO B,🇩🇰,Copenhagen Stock Exchange,Health Care Equipment & Services,kr.153.3bn
Colruyt N.V.,COLR,🇧🇪,Euronext Brussels,Food and Drug Retailers,€5.3bn
Commerzbank AG,CBK,🇩🇪,Frankfurt Stock Exchange,Banks,€12.5bn
Compagnie de Saint-Gobain S.A.,SGO,🇫🇷,Euronext Paris,Construction & Materials,€25.2bn
Compagnie financiere Richemont SA,CFR,🇨🇭,SIX Swiss Exchange,Personal Goods,Fr.54.8bn
Compass Group Plc,CPG,🇬🇧,London Stock Exchange,Travel & Leisure,£35.0bn
Continental AG,CON,🇩🇪,Frankfurt Stock Exchange,Automobiles & Parts,€12.1bn
ConvaTec Group Plc,CTEC,🇬🇧,London Stock Exchange,Pharmaceuticals & Biotechnology,£4.2bn
Covestro AG,1COV,🇩🇪,Frankfurt Stock Exchange,Construction & Materials,€9.2bn
Covivio S.A,COV,🇫🇷,Euronext Paris,Real Estate Investment Trusts,€3.6bn
Credit Agricole S.A.,ACA,🇫🇷,Euronext Paris,Banks,€34.3bn
Credit Suisse Group AG,CSGN,🇨🇭,SIX Swiss Exchange,Banks,Fr.3.3bn
CRH Plc,CRH,🇺🇸,New York Stock Exchange,Construction & Materials,$39.1bn
Croda International plc,CRDA,🇬🇧,London Stock Exchange,Chemicals,£5.7bn
Daily Mail & General Trust plc - Class A Shares,DMGT,🇬🇧,London Stock Exchange,Media,£569mn
Danone,BN,🇫🇷,Euronext Paris,Food Producers,€36.7bn
Danske Bank AS,DANSKE,🇩🇰,Copenhagen Stock Exchange,Banks,kr.139.7bn
Dassault Aviation,AM,🇫🇷,Euronext Paris,Aerospace & Defence,€14.7bn
Dassault Systemes SA,DSY,🇫🇷,Euronext Paris,Software & Computer Services,€45.4bn
Davide Campari,CPR,🇮🇹,Italian Stock Exchange,Beverages,€12.7bn
DCC Plc,DCC,🇬🇧,London Stock Exchange,Support Services,£4.4bn
Dechra Pharmaceuticals plc,DPH,🇬🇧,London Stock Exchange,Pharmaceuticals & Biotechnology,£4.3bn
Delivery Hero SE,DHER,🇩🇪,Frankfurt Stock Exchange,Food and Drug Retailers,€6.7bn
Demant AS,DEMANT,🇩🇰,Copenhagen Stock Exchange,Health Care Equipment & Services,kr.59.0bn
Derwent London Plc,DLN,🇬🇧,London Stock Exchange,Real Estate Investment Trusts,£2.1bn
Deutsche Bank AG,DBK,🇩🇪,Frankfurt Stock Exchange,Banks,€19.5bn
Deutsche Boerse AG,DB1,🇩🇪,Frankfurt Stock Exchange,Financial Services,€30.1bn
Deutsche Lufthansa AG,LHA,🇩🇪,Frankfurt Stock Exchange,Aerospace & Defence,€7.9bn
Deutsche Post AG,DHL,🇩🇪,Frankfurt Stock Exchange,Commercial Transportation,€46.5bn
Deutsche Telekom AG,DTE,🇩🇪,Frankfurt Stock Exchange,Telecomms,€100.4bn
Deutsche Wohnen SE,DWNI,🇩🇪,Frankfurt Stock Exchange,Property,€7.8bn
Diageo plc,DGE,🇬🇧,London Stock Exchange,Beverages,£69.5bn
Diasorin S.p.A.,DIA,🇮🇹,Italian Stock Exchange,Pharmaceuticals & Biotechnology,€1.9bn
Direct Line Insurance Group plc,DLG,🇬🇧,London Stock Exchange,Nonlife Insurance,£2.1bn
DKSH Holding AG,DKSH,🇨🇭,SIX Swiss Exchange,Support Services,Fr.3.7bn
Dometic Group AB (PUBL),DOM,🇸🇪,Stockholm Stock Exchange,Travel & Leisure,kr19.6bn
DSV AS - Class B Shares,DSV,🇩🇰,Copenhagen Stock Exchange,General Industrials,kr.244.3bn
Dufry AG,DUFN,🇨🇭,SIX Swiss Exchange,Travel & Leisure,Fr.4.6bn
Easyjet plc,EZJ,🇬🇧,London Stock Exchange,Travel & Leisure,£2.7bn
Edenred SE,EDEN,🇫🇷,Euronext Paris,Support Services,€12.9bn
EDP-Energias DE Portugal S.A.,EDP,🇵🇹,Euronext Lisbon,Electricity,€15.6bn
Eiffage,FGR,🇫🇷,Euronext Paris,Construction & Materials,€8.3bn
Electricite de France.,EDF,🇫🇷,Euronext Paris,Electricity,€50.0bn
Electrolux AB - Class B Shares,ELUX B,🇸🇪,Stockholm Stock Exchange,Household Goods,kr29.9bn
Elekta AB - Class B Shares,EKTA B,🇸🇪,Stockholm Stock Exchange,Health Care Equipment & Services,kr27.9bn
Elis.,ELIS,🇫🇷,Euronext Paris,Personal Goods,€3.7bn
Elisa Oyj - Class A Shares,ELISA,🇫🇮,Helsinki Stock Exchange,Software & Computer Services,€6.9bn
Ems-Chemie Holding AG,EMSN,🇨🇭,SIX Swiss Exchange,Conglomerates,Fr.14.0bn
Enagas SA,ENG,🇪🇸,Madrid Stock Exchange,Oil & Gas Producers,€4.1bn
Endesa S.A.,ELE,🇪🇸,Madrid Stock Exchange,Electricity,€19.7bn
Enel Spa,ENEL,🇮🇹,Italian Stock Exchange,Electricity,€57.4bn
Engie,ENGI,🇫🇷,Euronext Paris,Electricity,€35.8bn
Eni Spa,ENI,🇮🇹,Italian Stock Exchange,Oil & Gas Producers,€55.5bn
Entain plc,ENT,🇬🇧,London Stock Exchange,Travel & Leisure,£6.0bn
E. On SE,EOAN,🇩🇪,Frankfurt Stock Exchange,Electricity,€28.8bn
Epiroc AB - Class A Shares,EPI A,🇸🇪,Stockholm Stock Exchange,Mining,kr163.9bn
Equinor ASA,EQNR,🇳🇴,Oslo Stock Exchange,Oil & Gas Producers,kr1127.7bn
Erste Group Bank AG,EBS,🇦🇹,Vienna Stock Exchange,Banks,€13.9bn
EssilorLuxottica,EL,🇫🇷,Euronext Paris,Health Care Equipment & Services,€74.0bn
Essity Aktiebolag (publ) - Class B Shares,ESSITY B,🇸🇪,Stockholm Stock Exchange,Health Care Equipment & Services,kr154.5bn
Eurazeo SE,RF,🇫🇷,Euronext Paris,Equity Investments,€4.1bn
